#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:52:05       0    516     70      -     90     79      0      0      0      0  13801   2872 
 19:52:06       0    523     70      -     92     82      0      0      0      0  13801   2872 
 19:52:07       0    523     70      -     92     81      0      0      0      0  13801   2872 
 19:52:08       0    523     70      -     89     78      0      0      0      0  13801   2872 
 19:52:09       0    522     70      -     90     80      0      0      0      0  13801   2872 
 19:52:10       0    522     71      -     92     82      0      0      0      0  13801   2872 
 19:52:11       0    520     70      -     92     80      0      0      0      0  13801   2872 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:52:12       0    520     70      -     92     81      0      0      0      0  13801   2872 
 19:52:13       0    518     71      -     92     80      0      0      0      0  13801   2872 
 19:52:14       0    521     71      -     92     80      0      0      0      0  13801   2872 
 19:52:15       0    521     71      -     91     80      0      0      0      0  13801   2872 
 19:52:16       0    522     70      -     92     80      0      0      0      0  13801   2872 
 19:52:17       0    520     71      -     92     81      0      0      0      0  13801   2872 
 19:52:18       0    522     70      -     91     80      0      0      0      0  13801   2872 
 19:52:19       0    522     71      -     91     80      0      0      0      0  13801   2872 
 19:52:20       0    523     71      -     91     80      0      0      0      0  13801   2872 
 19:52:21       0    520     71      -     92     81      0      0      0      0  13801   2872 
 19:52:22       0    520     71      -     92     80      0      0      0      0  13801   2872 
 19:52:23       0    517     71      -     89     78      0      0      0      0  13801   2872 
 19:52:24       0    520     71      -     91     80      0      0      0      0  13801   2872 
 19:52:25       0    521     71      -     92     80      0      0      0      0  13801   2872 
 19:52:26       0    519     71      -     92     80      0      0      0      0  13801   2872 
 19:52:27       0    519     71      -     91     80      0      0      0      0  13801   2872 
 19:52:28       0    520     71      -     91     79      0      0      0      0  13801   2872 
 19:52:29       0    520     71      -     92     80      0      0      0      0  13801   2872 
 19:52:30       0    521     71      -     92     80      0      0      0      0  13801   2872 
 19:52:31       0    519     71      -     92     81      0      0      0      0  13801   2872 
 19:52:32       0    521     71      -     92     80      0      0      0      0  13801   2872 
 19:52:33       0    519     71      -     92     80      0      0      0      0  13801   2872 
 19:52:34       0    518     71      -     92     79      0      0      0      0  13801   2872 
 19:52:35       0    507     69      -     62     54      0      0      0      0  13801   2872 
 19:52:36       0    134     63      -      0      0      0      0      0      0  13801   2910 
 19:52:37       0     94     61      -      1      0      0      0      0      0   7001   1545 
 19:52:38       0    365     69      -     90     78      0      0      0      0  13801   2872 
 19:52:39       0    515     70      -     90     78      0      0      0      0  13801   2872 
 19:52:40       0    516     70      -     91     80      0      0      0      0  13801   2872 
 19:52:41       0    516     70      -     91     79      0      0      0      0  13801   2872 
 19:52:42       0    517     70      -     91     80      0      0      0      0  13801   2872 
 19:52:43       0    516     70      -     91     80      0      0      0      0  13801   2872 
 19:52:44       0    516     70      -     89     77      0      0      0      0  13801   2872 
 19:52:45       0    518     70      -     90     79      0      0      0      0  13801   2872 
 19:52:46       0    518     70      -     92     80      0      0      0      0  13801   2872 
 19:52:47       0    519     70      -     91     80      0      0      0      0  13801   2872 
 19:52:48       0    519     71      -     90     79      0      0      0      0  13801   2872 
 19:52:49       0    518     70      -     91     79      0      0      0      0  13801   2872 
 19:52:50       0    516     70      -     91     79      0      0      0      0  13801   2872 
 19:52:51       0    519     71      -     92     81      0      0      0      0  13801   2872 
 19:52:52       0    517     71      -     92     81      0      0      0      0  13801   2872 
 19:52:53       0    518     70      -     92     81      0      0      0      0  13801   2872 
 19:52:55       0    516     71      -     91     79      0      0      0      0  13801   2872 
 19:52:56       0    517     71      -     93     81      0      0      0      0  13801   2872 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:52:57       0    517     70      -     91     80      0      0      0      0  13801   2872 
 19:52:58       0    518     71      -     91     80      0      0      0      0  13801   2872 
 19:52:59       0    517     71      -     92     81      0      0      0      0  13801   2872 
 19:53:00       0    519     70      -     91     80      0      0      0      0  13801   2872 
 19:53:01       0    518     71      -     92     80      0      0      0      0  13801   2872 
